MLS Number	Property Status	List Price	Original List Price	Street #	Street Name	Dir	Unit #	City	State	Zip Code	Subdivision	Block	Lot Number	County	Area	Parcel #	Page #	Tax $	CC&R	HOA	HO Tax Exemption	Total Annual Fees $	Transfer Fees $	LID	LID Amount $	LID Assessment	State Lease	State Lease #	State Lease Annual Fee $	Legal	Acres	Lot Width	Lot Length	Paved Street	Winter Access	Electric	Propane Tank	Propane Tank Location	Propane Tank Ownership	Bedrooms	Total Baths	Full Baths	Half Baths	3/4 Baths	Apx Fin SqFt	Age	Level	Year Built	Remodeled	Year Remodeled	Basement	Phone	Garage	Carport	Mobile Home Make/Year	Excluded Items	Additional Features	Adjacent To	Construction	Dock	Foundation	Heat	Included in Sale	Power	Road Maintenance	Roof	Sewer	Siding	Topography	Water	Water Proximity	View	Access To	Zone	Showing Instructions	Directions	Public Remarks	Agent Remarks	Office Only Remarks	Sold Price	Closed Date	Days on Market	Property Type
"537115"	"S"	"589000"	"589000"	"2222"	"Highland Road"	""	""	"Donnelly"	"ID"	"83615"	"Royal Scot"	""	"13"	"Valley"	"Donnelly West"	"RP002190000130"	""	"1446.00"	"No"	"No"	"No"	""	""	"Yes"	"10000.00"	""	"No"	""	""	"ROYAL SCOT SUBDIVISION LOT 13"	"0.3300"	"115"	"125"	"No"	"Yes"	"Overhead"	""	""	""	"2"	"1"	"1"	""	""	"812"	"31 - 50 Years"	"Two Stories"	"1979"	""	""	""	""	"Two"	"One"	""	"Sellers personal items, oak dinning table antique rocker truck & travel trailer & marked items, items in small room in garage"	"Shop, Vaulted Ceilings"	""	"Frame"	""	"Block"	"Elec Baseboard, Wood Stove"	"Dishwasher, Dryer, Furniture, Range/Oven, Refrigerator, Washer, Window Treatments, Wood Stove, Other"	"110 Volts, 220 Volts"	"Shared, County"	"Metal"	"NLSD"	"Wood Siding"	"Level, Rolling"	"Well"	"Lake Cascade"	"Lake, Mountains"	"Public Lands"	"County"	"Call Listing Agent, Lockbox/Show Anytime"	"West Mtn Rd approx 1 mile north of Tamarack Entrance, right on Little Ln then Right on Highland Rd, 2nd cabin on Right "	"Classic Mountain Cabin.  Enjoy lake views from this very well maintained cabin.  2 bedroom 1 bath.  Loft style bedroom with extra space for sleeping or others uses.  Nice open main floor with nice sized deck with beautiful views of the lake & Mountains.  Large 24x36 garage with work area and lots of storage. Also has great carport for your RV or other toys.  Nice sized yard area with small firepit & extra room for parking.  Just about 1 mile from Tamarack Resort & great access to Cascade Lake & various roads around West Mtn.   Very close to Buttercup Boat ramp. "	"Old style lock box, call for showings.   Easy access off West Mtn road with neighbors sharing plowing costs for year round access.  After seller removes personal items & some furniture all other items will be included in the sale. "	""	"550000"	"9/21/2023"	"50"	"RR"
"537116"	"S"	"1074900"	"1074900"	"3330 "	"Whitefield Lane"	""	""	"McCall"	"ID"	"83638"	"Kings Pines 4"	""	""	"Adams"	"McCall West"	"RP001340020060"	""	"738.82"	"Yes"	"Yes"	"No"	"300.00"	"200.00"	"No"	""	""	"No"	""	""	"Block 2 Lot 6 Kings Pines Estates 4"	"2.0000"	""	""	"Yes"	"Yes"	""	"Yes"	"Underground"	"Owned"	"3"	"2.5"	"2"	"1"	""	"2072"	"< 1 Year"	"Single Level"	"2022"	"No"	""	""	""	"Two"	"None"	""	"Seller's personal property"	"Primary Bedroom on Main, Propane Tank, Vaulted Ceilings, Central Vacuum, Air Conditioning, Road Frontage, Central Air"	""	"Frame"	""	"Concrete Perimeter"	"Propane Fire Place, Propane Forced Air"	"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer"	"110 Volts, 220 Volts"	"County"	"Composition"	"Community, Septic Installed"	"Hard Plank"	"Level, Rolling, Wooded"	"Community"	""	"Meadow, Mountains, Wooded, Valley"	""	"County"	"Call Listing Agent, Drive By"	"From McCall north on Hwy 55 to Club Hill Blvd. South on Club Hill Blvd to Whitefield Lane. West on Whitefield Lane to property"	"Here, you've found your Mountain Modern dream home and lifestyle. You won't find a more functional floor plan.  A partially furnished home with a 200w Home Theatre digital receiver/amp for the TV & speakers, an exterior security camera, washer & dryer, refrigerator and ready to hook-up your grill on the back deck and power for your hot tub. With a beautiful gas fireplace for that cozy wintertime atmosphere. Wonderful kitchen with an under-counter wine/beverage fridge, farm sink and perfect sized pantry.  Step out onto the back deck with a glass of wine, take in the view and great mountain air. There is tons of storage space with this home.  Comes with a thermostat controlled garage heater. Plumbed for central vacuum system and garage mud sink. This all sits on a beautiful 2 acre property which is perfectly located in the much desired Kings Pines estates. Just minutes from Payette Lake, downtown McCall, and Brundage Ski Resort. Enjoy quick access to all of the amazing recreation the area has to offer such as hiking, biking, fishing, skiing, golfing, hunting and so much more. This is a must see with it's craftsmanship, perfect floorplan and finish level."	"Owner will carry, 10% down, 5yr balloon, 30yr Amortization, 5.65%, with option to extend.  Some of items stay, some items for sale, will supply list asap.  Plumbed for central vacuum system. Call myself or Jerod(co-listing agent 208- 991-8505) for more details.  Showings by appt. only.  Call for garage code access. "	""	"1051555"	"9/12/2023"	"40"	"RA"
"537117"	"S"	"749000"	"749000"	"66"	"Chase Drive"	""	""	"McCall"	"ID"	"83638"	"Carefree 7"	""	"117"	"Valley"	"McCall East"	"RP004030001170"	""	"1592.92"	"Yes"	"Yes"	"Yes"	""	""	"No"	""	""	"No"	""	""	"CAREFREE SUBDIVISION NO. 7 LOT 117"	"2.4281"	""	""	"No"	"Yes"	""	"No"	""	""	"3"	"2"	""	""	""	"1656"	"1 - 5 Years"	"Two Stories"	"2015"	""	""	""	""	"Four"	"Two"	""	""	"Shop"	""	"Frame"	""	"Slab"	"Wall Heater, Wood Stove"	"Dishwasher, Disposal, Dryer, Range/Oven, Refrigerator, Washer, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"Association"	"Composition"	"Septic Installed"	"Wood Siding"	"Level"	"Well"	""	"Mountains, Valley"	""	"Res - 1 House/1 Ac"	"Other"	"Carefree Subdivision"	"If your looking for incredible views of Jug Mountain, minutes from downtown McCall, acreage, and more than enough room for all your recreational vehicles, this property is it! Conveniently located in a quiet, secluded cul de sal in Carefree subdivision, this house boasts a finished shop (1,656 square feet) with wood burning stove, half bath in shop, and carports adjacent to the house to house the extra toys. Front facing deck and spacious main living area have spanning views of Jug Mountain. Main living level includes master with en suite, 2 spare bedrooms and an additional full bath. Full laundry room with storage closets, cupboards and sink. Backyard has patio, underground sprinklers and new sod. You will never have a next door neighbor unless you decide to build a second house on either side. This is a custom home with hardwood floors throughout and tiled bathrooms and laundry. House comes with all appliances including refrigerator, washer/dryer, and water softener."	""	""	"749000"	"8/2/2023"	"56"	"RA"
"537118"	"S"	"799900"	"849000"	"377"	"Verita Street"	""	""	"McCall"	"ID"	"83638"	"Broken Ridge"	"2"	"12"	"Valley"	"McCall West"	"RPM05080020120"	""	"3594.06"	"Yes"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"Broken Ridge Subdivision Block 2 Lot 12"	"0.5400"	""	""	"Yes"	"Yes"	"Underground"	"Yes"	""	""	"3"	"2"	""	""	""	"1624"	"11 - 20 Years"	"Two Stories"	"2005"	"Yes"	"2021"	""	"Yes"	"Two"	"None"	""	""	"Primary Bedroom on Main, Propane Tank, Vaulted Ceilings, Alarm System, Central Air"	""	"Frame"	""	"Concrete Perimeter"	"Propane Forced Air, Wood Stove"	"Hot Tub, Dishwasher, Disposal, Dryer, Microwave, Propane Stove, Range/Oven, Refrigerator, Satellite Dish, Washer, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"City"	"Composition"	"City"	"Log"	"Level"	"Public"	""	"Meadow"	""	""	"Call Listing Agent, Lockbox/Show Anytime"	"From Boydstun/Deinhard bypass, W on Verita, which swings S, house on East side"	"Enjoy wooded privacy in a pedestrian friendly neighborhood yet be oh-so-close to town.  So many upgrades: new roof, new carpet, new hardwood in kitchen, new A/C, new Wtr Htr, new W/D, new kitchen granite counter tops and tile back splash, new salt water hot tub, exterior was recently stained and interior is freshly painted.  Both guest bedrooms upstairs have private outdoor balconies. Log appointments throughout for that "cabiny" feel.  This home sits on a 1/2 acre lot and borders 2.8 acre Broken Ridge Open Space City Park (Proposed).  Great location, just minutes away from the Lake, Shore Lodge and downtown.  Brundage is 15 minutes away."	"Owners are sometimes there.  Pls call if you want to show.  L/B on front porch.  You may ask why PENDING then back to ACTIVE?  On Day 2 we received a full price offer sight unseen.  When the buyers arrived it wasn't what they had in mind."	"Owners are sometimes there.  Pls call if you want to show.  L/B on front porch.  You may ask why PENDING then back to ACTIVE?  On Day 2 we received a full price offer sight unseen.  When the buyers arrived it wasn't what they had in mind."	"799900"	"9/29/2023"	"58"	"RR"
"537129"	"S"	"649500"	"649500"	"363"	"Veronica Street"	""	""	"McCall"	"ID"	"83638"	"None"	""	""	"Valley"	"McCall City"	"RPM00000180057"	""	"2963.00"	"No"	"No"	"No"	"0.00"	"0.00"	"No"	""	""	"No"	""	""	"AMENDED TAX NO. 27 IN NE4 NE4 S18 T18N R3E MCCALL ACREAGE"	"0.2850"	""	""	"Yes"	"Yes"	"Underground"	""	""	""	"3"	"2"	"2"	""	""	"1472"	"11 - 20 Years"	"Single Level"	"2005"	"No"	""	""	"Yes"	"One"	"None"	""	"Furniture, washer, dryer, hot tub negotiable"	"Primary Bedroom on Main, Vaulted Ceilings, Road Frontage, Surveyed"	"Other"	"Frame"	"None"	"Concrete Perimeter"	"Elec Baseboard, Wood Stove"	"Dishwasher, Disposal, Microwave, Range/Oven, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"City"	"Composition"	"PLSWD"	"Log Siding"	"Road Frontage, Sloped, Wooded"	"Public"	""	"Wooded"	"Public Lands"	"Res - 4 Homes/Ac"	"Call Listing Agent, Drive By, Notice Required"	"Corner of Boydstun and Veronica St."	"Cabin in McCall! Clean, log siding, 3 bedroom, 2 bath 1,472 square foot home with large covered front deck and private deck in back.  Home borders 2.8 acre Broken Ridge Open Space City Park.  No CCR's and No HOA.  Half mile to Shore Lodge and Payette Lake and easy access location for all McCall activities.  Ready to move in.  New hot tub, furniture, washer and dryer are negotiable for a turnkey sale.  Vacation rentals are allowed in this home. "	"Showings not available from 3pm Sat 8/12-5pm Tue 8/15 and 3pm Thu 8/17-5pm Mon 8/20.  As of 8/21 Mon, lockbox/show anytime. "	""	"650000"	"9/21/2023"	"46"	"RR"
"537134"	"S"	"164000"	"164000"	"12"	"Hemlock Trail"	""	""	"Donnelly"	"ID"	"83615"	"CR 4"	""	"Pt. 43"	"Valley"	"Donnelly West"	"RP00046000043A"	"3209"	"840.00"	"No"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"Lot 4A-43 Less Tax #11, CR-4 Subdivision"	"1.0000"	"170'"	"480'"	"No"	"No"	"Overhead"	""	""	""	"0"	"1"	""	""	""	"572"	"51 - 80 Years"	"Single Level"	"1969"	""	""	""	""	"None"	"None"	""	"Sellers Personal Property"	"Manf Homes OK, Water Rights, Horses Permitted"	"Creek"	"Frame"	""	"Pillar/Post/Pier"	"Wood Stove, Other"	"Furniture, Refrigerator"	"Other"	"Private Maintained Road"	"Metal"	"Needs Approval"	"Wood Siding"	"Level, Pond/Stream/Creek, Sloped, Wooded"	"Needs Water"	""	"Mountains, Wooded, Creek"	"River/Creek"	"County"	"Drive By"	"Hwy. 55 in Donnelly, West on Roseberry Road, Left on West Mountain Road about 6.2 miles to Hemlock Trail."	"TWO CREEKS RUN THROUGH IT! Relax to the stereo sound of two creeks on this very special forested one acre lot located less than 5 miles from Tamarack Ski Resort. Peek-a-boo view of Lake Cascade close by. Water rights to creek included! Old rustic cabin needs TLC but could be a great opportunity to earn sweat equity and create some fun family memories! Near fishing, water sports, hiking, mountain biking, snowmobiling, snow skiing, rock climbing, hiking and ??  "	"BRING BRIGHT FLASHLIGHT(S) TO SHOW! Priced to sell in â€œas isâ€ condition. Power needs re-connected. Surrounding trees need cut. Probably will not qualify for standard septic but may qualify for an alternative system. Buyer to confirm with Central District Health Department the possibility of a whole house incinerator system as a septic alternative which may allow indoor pressurized plumbing.  Other Heat Source is Portable Heater.  Additional Included Items:  Wood Cook Stove.     "	"SHOWING INSTRUCTIONS:  Sentri Lockbox, Vacant Show Anytime."	"170000"	"9/22/2023"	"45"	"RR"
"537160"	"S"	"699000"	"699000"	"12872"	"Willow Road"	""	""	"Donnelly"	"ID"	"83615"	"Wagon Wheel Ranch 4"	"B"	"66"	"Valley"	"Donnelly West"	"RP0029300B066A"	""	"1511.42"	"Yes"	"No"	"No"	""	""	"Yes"	"0.00"	"None"	"No"	""	""	"WAGON WHEEL RANCH #4 SUB TAX NO. 6 IN LOT 66 BLOCK B"	"0.4600"	""	""	"Yes"	"Yes"	""	""	""	""	"2"	"2"	""	""	""	"1600"	"31 - 50 Years"	"Two Stories"	"1982"	""	""	""	""	"Two"	"One"	""	""	"Shop, Vaulted Ceilings, Road Frontage"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air"	"Dryer, Freezer, Furniture, Microwave, Propane Stove, Range/Oven, Refrigerator, Washer, Window Treatments"	"110 Volts, 220 Volts"	"County"	"Composition, Metal"	"NLSD"	"Wood Siding"	"Level"	"Shared Well"	"Lake Cascade"	"Wooded"	""	"Other"	"Call Listing Agent"	"South of Donnelly from Hwy 55, E on Loomis Ln, S on Spring Valley Rd, W on Lake Trail, S on Willow Rd"	"Completely remodeled home in 2017 (new windows included) PLUS a detached 24x24 shop was added that can accommodate an ADU. The super cute home is 2 bed 2 bath plus loft plus mud room. The open floor plan is functional.  The main floor features a spacious kitchen with tiled floors, knotty alder cabinets, an island, and upgraded appliances.  Dining area is open to the living room and has a brand new propane stove.  One bed and a full bath on the main has dual vanities. The mud/laundry room has lots of storage, a pantry, and a washer/dryer.  Upstairs features a loft and the primary suite.  The trex deck is perfect for outdoor dining or sunsets, or out back there is a landscaped area complete with propane fire pit and grassy area.  The carport is large and could fit an RV.  Plus, plenty of space for even more parking and toys.  Newer landscaping features gravel, large boulders, and mature trees that add to the already beautiful natural landscaping.  Home is approx. 1 mile to lake.  Shop is almost complete."	"Call co-listing agent for more info. One hour notice preferred for showings. Call or text first, use lockbox. Shop siding will be complete by Labor Day. Shop garage doors will be installed late Sept. Lot next door is also for sale, but not with McCall Real Estate"	""	"685000"	"10/13/2023"	"61"	"RR"
"537164"	"S"	"484900"	"499900"	"223"	"Angus Lane"	""	""	"Donnelly"	"ID"	"83615"	"Wagon Wheel Ranch 5"	"5"	"3"	"Valley"	"Donnelly West"	"RP002890050030"	""	"688.74"	"No"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"Wagon Wheel Ranch #5 Sub Lot 3 Block 5 2005 Golden West 27x48 M.H. SER #GOOR23N28743A/B"	"0.4600"	""	""	"No"	"Yes"	""	"Yes"	"Above Ground"	"Leased"	"3"	"2"	"2"	""	""	"1296"	"11 - 20 Years"	"Single Level"	"2005"	"No"	""	""	""	"Two"	"None"	"2005 GoldenWest"	""	"Manf Homes OK, Primary Bedroom on Main, Propane Tank, Shop, Vaulted Ceilings"	""	"Manufactured"	""	"Concrete Perimeter"	"Pellet Stove, Propane Forced Air"	"Dishwasher, Microwave, Pellet Stove, Range/Oven, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"County"	"Composition"	"NLSD"	"Composite"	"Level"	"Well"	"Lake Cascade"	"Mountains, Wooded"	""	""	"Lockbox/Show Anytime"	"Old State Hwy, Loomis to Spring Valley, R on Lake Trail, L on Cascade, R on Angus. "	"Donnelly gem on large lot, set back from the road and minutes from Boulder Creek State Park and boat launch. Large yard and decks for entertaining. Open floor plan with vaulted ceilings in the main living area. Pellet stove and propane forced air. Outbuildings include: 30x60 insulated shop with wood stove, 6x8 outbuilding, wood shed and pump house. "	"LID is paid. Show anytime.  Items in Shop will be removed 8.19.23. Propane take is leased by Farm Service Co-op. Excluded items: Personal property in shop and some plants and flowers in the garden. Please call for the code to access the shop. "	""	"485000"	"11/9/2023"	"88"	"RR"
"538199"	"S"	"795000"	"849900"	"437"	"Floyde Street"	""	""	"McCall"	"ID"	"83638"	"Evergreen Terrace 3"	""	"72"	"Valley"	"McCall City"	"RPM03860000720"	""	"3213.02"	"Yes"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"Evergreen Terrace No.3 Lot 72"	"0.2300"	"105"	"95"	"Yes"	"Yes"	""	"No"	""	""	"3"	"2"	"2"	"0"	""	"2025"	"21 - 30 Years"	"Two Stories"	"1993"	"Yes"	"2022"	"Yes"	""	"Two"	"None"	""	""	"Primary Bedroom on Main"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air"	"Dishwasher, Dryer, Furniture, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	""	"City"	"Composition"	"PLSWD"	"Wood Siding"	"Level, Sloped"	"Public"	""	""	"Public Lands"	"Res - 4 Homes/Ac"	"Call Listing Agent"	"Hwy 55/3rd Street; E on Floyde; home on north side of street"	"Beautifully remodeled 3 bedroom/2 bath home in the desired Evergreen Terrace neighborhood of McCall.  80 acres of Idaho State Land is 2 doors away, and it is walking distance to the elementary & middle schools as well as shops, grocery store & restaurants.  New paint, Travertine floors, granite countertops, stainless appliances, and carpet start the list of recent upgrades. The primary suite has an ensuite bath and direct access to the balcony,  The main floor guest room has its own bath as well.   The lower level has the third bedroom which accesses the backyard. In addition, there is approximately 400 Square feet of unfinished basement.  Great for storage now or future possibilities. There is an attached 2 car garage and the side yard as plenty of space to park an RV.  The spacious, low maintenance backyard is fenced and has a welcoming fire pit.  Being sold furnished and turn-key!  Bring your toys and start enjoying all the West Central Mountains offers!"	"Seller uses occasionally, CLA to confirm vacancy.  Co-Listed with Amy Berryhill of Ralston Group Properties, Boise Idaho. SentriLock is to right of front door on the front porch."	""	"780000"	"11/15/2023"	"86"	"RR"
"538202"	"S"	"2227000"	"2497000"	"39"	"Moonflower Court"	""	""	"McCall"	"ID"	"83638"	"Blackhawk on the River 2"	"3"	"124"	"Valley"	"McCall West"	"RP005760031240"	"59"	"3700.00"	"Yes"	"Yes"	"Yes"	"2760.00"	"825.00"	"No"	""	""	"No"	""	""	"Lot 124 in Block 3 of Blackhawk on the River Sub - Ph 2 according to official plat thereof"	"0.5900"	"irr"	"irr"	"Yes"	"Yes"	"Underground"	"Yes"	"Underground"	"Owned"	"3"	"2.5"	"2"	"1"	""	"3457"	"6 - 10 Years"	"Two Stories"	"2017"	""	""	""	""	"Three"	"None"	""	""	"Primary Bedroom on Main, Propane Tank, Sprinkler System, Vaulted Ceilings, Central Vacuum, Air Conditioning, Road Frontage, Surveyed, Central Air"	"River"	"Frame, Masonry"	"None"	"Other"	"Fireplace Insert, Propane, Propane Fire Place, Radiant"	"Dishwasher, Disposal, Dryer, Furniture, Microwave, Propane Stove, Range/Oven, Refrigerator, Washer, Window Treatments"	""	"Association"	"Composition"	"Community"	"Wood Siding"	"Level, Road Frontage, Water Front"	"Community"	"Payette Lake, Payette River, Pond"	"Mountains, Wooded, River"	"Beach, Community Pool, River/Creek, Other"	"Res - 1 House/1 Ac"	"Call Listing Agent, Notice Required"	"Fm Wisdom/W Mtn Rd, S on W Mtn to Gate, L on Fawnlilly, stay L, L on Shooting Star, R on Moonflower to property"	"Delightful turnkey riverfront paradise in the exclusive gated Blackhawk on the River community.  Immerse yourself in rustic mountain architecture w insightful details: main level radiant floor heating, remote-controlled window coverings, expansive windows that draw nature's stunning beauty inside, rich surround sound, cozy reading library that can be easily converted to Bedroom #4, sun room to welcome in the natural landscape & an enormous gathering kitchen. An entertainer's delight, it's the perfect home for the active couple who enjoy skiing, biking, hiking & watersports. The master ensuite adjoins the sun room. Larger-than-life utility room w dog wash. Watch deer, bald eagles & more wildlife from the enormous back patio. Protected land across the river. Boat/32' RV bay, 11'x12' door. Miles of private river trails for enjoyment; your dogs will love being off leash & not seeing many people!  Gorgeous 10,000 SF Clubhouse w sauna, pool, gym & theater rm. Buyer & buyer's agent to verify."	"Plz CLA with 2-hr notice.*Seller is offering OWC with the right terms-plz ask LA*. See all extra info in D tab. UPSTAIRS SLEEPING LOFT IS BEDROOM #3. 50-yr roof; Generac generator w warranty; Jotul stove in eating area. Utility room is the BEST you've ever seen. Garage floor recently re-epoxied & driveway freshly sealed.  Move in ready except for the master bed.  Don't forget to show your buyers the gorgeous 10,000 SF clubhouse & amenities, & the over 5 miles of private river trails! Buyers & agents to verify all."	""	"1970000"	"11/3/2023"	"73"	"RR"
"538210"	"S"	"1149900"	"1149900"	"113"	"Carefree Lane"	""	""	"McCall"	"ID"	"83636"	"Carefree 5"	""	"78"	"Valley"	"McCall East"	"RP003900000780 "	""	"2271.96"	"Yes"	"Yes"	"Yes"	"25.00"	"0.00"	"No"	""	""	"No"	""	""	"CAREFREE SUBDIVISION NO.5 LOT 78 "	"4.1040"	""	""	"Yes"	"Yes"	"Underground"	"Yes"	"Underground"	"Owned"	"4"	"3"	"3"	"0"	"0"	"2760"	"21 - 30 Years"	"Two Stories"	"1995"	"Yes"	"2022"	"No"	"Yes"	"Two"	"One"	""	"Sellers Personal Property"	"Sprinkler System, Vaulted Ceilings, Fuel Tank Below Ground, Air Conditioning, Central Air"	""	"Frame"	""	"Concrete Perimeter"	"Propane Forced Air, Wood Stove"	"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"County"	"Composition"	"Septic Installed"	"Stucco"	"Level"	"Well"	""	"Mountains, Valley"	""	"County"	"Call Listing Agent"	"Hwy 55, E on Pearson, S on Carefree Lane, home is on the west side of the road."	"Beautiful home in secluded park like setting with panoramic views of Jughandle Mountain, West Mountain, and Boulder Basin. This beautiful home includes 4 bedrooms, 3 bathrooms plus an office and features a chefs gourmet kitchen with double ovens and center island with prep sink, dining and breakfast nook, walk-in shower, tile, granite, wood floors, and much more. Beautiful outdoor living space includes a new Timbertech wrap around entertaining deck, rock fireplace, deer proof garden space, and the most iconic fire pit setting with Jug Mountain in the background and lighted walkway. Recently renovated with energy seal insulation and an entirely new roof. Only 4 miles from downtown McCall, Payette Lake and all that McCall has to offer yet when you are home you feel like you are nestled in a mountainous retreat! Call now to schedule your private showing."	"Primary residence, please allow as much time as possible for showings.  Sellers can accommodate short notice if they have to however would need 1 hours notice."	""	"1149900"	"10/20/2023"	"58"	"RA"
"538212"	"S"	"999999"	"1199000"	"13999"	"Hogue Hollow Drive"	""	""	"McCall"	"ID"	"83638"	"Hogue Hollow"	""	""	"Valley"	"McCall West"	"RP18N03E317837"	""	"1969.30"	"No"	"No"	"Yes"	"0.00"	"0.00"	"No"	"0.00"	""	"No"	""	"0.00"	"See Exhibit 'A'"	"5.0732"	""	""	"No"	"Yes"	""	""	""	""	"3"	"2"	"2"	""	""	"2591"	"21 - 30 Years"	"Two Stories"	"1998"	"Yes"	""	""	""	"Five or More"	"None"	""	"Seller's Personal Property and Refrigerator in Tiny Studio"	"Shop, Vaulted Ceilings, Guest Housing, Horses Permitted"	""	"Frame"	"None"	"Concrete Perimeter"	"Elec Forced Air, Wood Stove"	"Dishwasher, Disposal, Dryer, Microwave, Range/Oven, Refrigerator, Satellite Dish, Washer, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"County"	"Metal"	"Septic Installed"	"Cedar, Metal Siding"	"Level, Pasture Land"	"Well"	""	"Mountains, Valley"	""	"County"	"Call Listing Agent, Notice Required"	"From McCall: South on 55, right on Heinrich Ln, right on Nisula Rd, left on Hogue Hollow Dr, house is on left side.  "	"HUGE Price Improvement!!  You don't want to miss the sunset from your wrap around deck on the main house or the detached tiny studio.  This mountain retreat has a country feel, but just minutes from McCall!  The 3-bedroom, 2-bathroom (2261 sq ft) home is on just over 5 acres and includes an unplumbed detached tiny studio (330 sq ft) with a woodstove.  Inside the main home, the great room is perfect for entertaining with its woodstove, vaulted ceiling and wall full of windows.  Outside has a 6-car garage (with a woodstove), chicken coop, fire pit with swings and mature landscaping.  Recent renovations on the main house includes the exterior of the house, deck and garage being stained along with new carpet in the bedrooms and the main floor bathroom being remodeled.  With the recent work on the house and all of the garage/storage space, all you have to do is show up with your toys to enjoy McCall and the surrounding areas!"	"Owner occupied - please text to set up showing.  Septic just pumped and seller will share the septic report.  See Associated Documents for well, plat map and property disclosures.  The tiny studio does not have electricity - current owners run an electrical cord from the garage to the tiny studio. "	""	"903000"	"12/7/2023"	"105"	"RR"
"538215"	"S"	"549000"	"549000"	"180"	"Payette Street"	""	""	"Donnelly"	"ID"	"83615"	"None"	""	""	"Valley"	"Donnelly City"	"RPD00000108935"	""	"2207.00"	"No"	"No"	"Yes"	""	""	"No"	""	""	"No"	""	""	"DONNELLY ACREAGE NORTH 90 FT. OF TAX NO. 33 IN SW4 SE4 S10 T16N R3E"	"0.3100"	"90"	"150"	"No"	"Yes"	"Overhead"	""	""	""	"3"	"2"	"2"	""	""	"2100"	"81+ Years"	"Two Stories"	"1914"	"Yes"	"2017"	""	"Yes"	"Two"	"None"	""	"Sellers personal items"	"Air Conditioning, Central Air"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air, Wall Heater, Wood Stove"	"Dishwasher, Dryer, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments, Wood Stove"	"110 Volts, 220 Volts"	"City"	"Metal"	"City"	"Wood Siding"	"Level"	"NLSD"	""	"Meadow, Mountains"	""	"Res - 4 Homes/Ac"	"Call Listing Agent, Notice Required"	"Main St (hwy55) east on Jordan St (next to Post Office) that T's into Payette, take right house immediately on left "	"Very nicely remodeled classic country home. 3 bedrooms 2 bath with large bonus room great for office & entertainment area & with more room.  Large 2 car garage with pull through driveway. Nicely landscaped private back yard & patio area with views to the east mountains.  Great in town location 1/2 block to the School.  "	"Owners are flexible on showings, give as much notice as possible.  Sellers open to rent back for a short time after closing, not required just an option.                       Sellers will pay for new water & sewer lines to home after closing,  This is just to re-route current hookups that come across adjoining lot."	""	"535000"	"10/25/2023"	"62"	"RR"
